German,English
ich ,I 
sie ,she 
das ,the 
ist ,is 
du ,you 
nicht ,not 
die ,the 
es ,it 
und ,and 
der ,the 
wir ,we 
was ,What 
zu ,to 
er ,he 
ein ,a 
in ,in 
mir ,me 
mit ,with 
ja ,Yes 
den ,the 
wie ,How 
mich ,me 
auf ,on 
dass ,that 
eine ,one 
aber ,but 
so ,so 
hat ,has 
hier ,here 
haben ,have 
sind ,are 
für ,for 
von ,from 
dich ,you 
war ,was 
wenn ,if 
ihr ,her 
habe ,have 
nein ,no 
an ,to 
bin ,am 
noch ,still 
da ,there 
dir ,you 
nur ,only 
einen ,a 
sich ,itself 
uns ,us 
hast ,have 
dem ,dem 
kann ,can 
sein ,be 
auch ,also 
ihn ,him 
schon ,already 
als ,as 
jetzt ,now 
gut ,good 
mal ,just 
aus ,out of 
um ,around 
meine ,mine 
dann ,then 
wird ,becomes 
im ,in the 
bist ,are 
mein ,my 
doch ,but 
alles ,everything 
keine ,no 
weiß ,white 
oder ,or 
nach ,after 
s ,s 
werden ,become 
nichts ,nothing 
man ,man 
wo ,where 
ihnen ,them 
etwas ,something 
muss ,must 
will ,wants 
geht ,goes 
oh ,Oh 
mehr ,more 
also ,so 
bei ,at 
immer ,always 
bitte ,please 
warum ,Why 
hab ,have 
vor ,before 
los ,go 
können ,can 
wieder ,again 
sagen ,say 
machen ,make 
alle ,all 
sehr ,very 
mann ,man 
okay ,OK 
gehen ,go 
denn ,because 
zum ,for the 
tun ,do 
ihm ,him 
diese ,this 
danke ,Thanks 
sehen ,see 
wer ,who 
einem ,one 
euch ,you 
komm ,come 
vielleicht ,perhaps 
einer ,one 
ihre ,her 
werde ,become 
gibt ,gives 
über ,above 
deine ,your 
wissen ,knowledge 
müssen ,must 
wirklich ,really 
soll ,should 
nie ,never 
weg ,away 
hey ,hey 
kein ,no 
des ,des 
würde ,would 
einfach ,simply 
leben ,life 
am ,on 
viel ,much 
tut ,does 
willst ,want 
kommen ,come 
zeit ,time 
nun ,so 
hatte ,had 
dein ,your 
weil ,because 
kommt ,comes 
heute ,today 
wollen ,want 
weißt ,know 
damit ,with it 
frau ,woman 
gesagt ,said 
wäre ,were 
ganz ,quite 
wurde ,became 
bis ,until 
sicher ,secure 
kannst ,can 
zurück ,back 
dieser ,this 
wollte ,wanted 
leid ,sorrow 
lassen ,let 
macht ,might 
na ,n/a 
gott ,God 
meinen ,mean 
hallo ,Hello 
seine ,his 
zwei ,two 
lass ,let 
hätte ,would have 
zur ,to 
waren ,were 
genau ,Exactly 
könnte ,could 
vater ,father 
morgen ,morning 
leute ,people 
klar ,clear 
ok ,OK 
ab ,away 
tag ,day 
gerade ,straight 
gesehen ,seen 
schön ,nice 
glaube ,believe 
liebe ,love 
geld ,money 
durch ,through 
reden ,talk 
unsere ,our 
jemand ,someone 
mach ,do 
raus ,out 
sagte ,said 
keinen ,none 
ob ,whether 
sollte ,should 
gemacht ,made 
mutter ,mother 
dieses ,this 
paar ,couple 
sir ,sir 
passiert ,happened 
musst ,must 
wohl ,probably 
möchte ,want 
besser ,better 
dachte ,thought 
selbst ,himself 
her ,here 
hör ,listen 
gehört ,heard 
wirst ,will 
sag ,say 
ohne ,without 
nacht ,night 
diesen ,this one 
anderen ,others 
meiner ,mine 
wieso ,how come 
finden ,find 
dort ,there 
helfen ,help 
meinem ,mine 
lange ,long 
gute ,good 
ordnung ,order 
geben ,give 
weiter ,further 
natürlich ,naturally 
sei ,be 
ins ,into the 
gar ,even 
geh ,go 
richtig ,correct 
diesem ,this one 
vom ,from the 
sagt ,says 
denke ,think 
seit ,since 
gleich ,even 
hören ,hear 
ach ,Oh 
mädchen ,girl 
davon ,of that 
sieht ,sees 
ihren ,your 
recht ,right 
dafür ,for that 
wegen ,because of 
hause ,home 
hin ,there 
warte ,wait 
drei ,three 
deinen ,yours 
abend ,evening 
freund ,friend 
guten ,good 
sollen ,should 
sollten ,should 
haus ,a house 
menschen ,people 
viele ,many 
bleiben ,remain 
musik ,music 
unser ,our 
angst ,fear 
schnell ,fast 
tot ,dead 
welt ,world 
zusammen ,together 
habt ,have 
unter ,under 
scheiße ,shit 
nehmen ,take 
eines ,one 
herr ,Mr 
andere ,other 
getan ,did 
rein ,pure 
bringen ,bring 
ganze ,whole 
essen ,eat 
kinder ,children 
glauben ,believe 
genug ,enough 
darf ,may 
junge ,boy 
stimmt ,true 
brauchen ,need 
gegen ,against 
moment ,moment 
erst ,first 
seid ,are 
einmal ,once 
sonst ,otherwise 
niemand ,no one 
arbeit ,work 
steht ,stands 
warten ,wait 
dabei ,included 
fragen ,questions 
sofort ,immediately 
jahre ,years 
halt ,stop 
verdammt ,damned 
ihrer ,theirs 
bevor ,before 
sohn ,son 
familie ,family 
heißt ,is called 
jeder ,everyone 
sprechen ,speak 
gefunden ,found 
sache ,matter 
